state,appeared,qualified,xoffset,yoffset
Andhra Pradesh,10865,6323,5,3
Assam,2000,1117,5,1
Bihar,3732,1737,5,3
Chandigarh,114,93,0,-150
Chattisgarh,1397,701,0,-60
Delhi,2066,1564,-27,3
Goa,332,254,-10,-5
Gujarat,6546,3646,5,3
Haryana,1948,975,5,4
Himachal Pradesh,686,401,0,-120
Jammu and Kashmir,1001,699,0,-90
Jharkhand,1074,577,0,-80
Karnataka,15216,9219,5,3
Kerala,8573,6441,5,3
Madhya Pradesh,5207,2170,5,3
Maharastra,15451,7441,5,3
Manipur,746,363,5,3
Meghalaya,135,96,130,0
Odisha,3381,1864,-35,3
Pondicherry,3903,2031,5,3
Punjab,2659,1622,5,3
Rajasthan,5070,2702,5,3
Sikkim,346,184,5,5
Tamil Nadu,17067,11121,-60,3
Telangana,7796,4344,5,3
Tripura,789,249,50,0
Uttar Pradesh,9712,4173,5,3
Uttarkhand,1339,659,3,8
West Bengal,6905,3923,5,3
Others,7092,2944,5,3
